Symbol,Price,Quantity,Side
EUR/USD,1.0842,9847,BUY
GBP/USD,1.2634,10523,SELL
USD/JPY,149.23,11204,BUY
USD/CHF,0.8891,9234,SELL
AUD/USD,0.6321,10891,BUY
USD/CAD,1.4356,9678,SELL
NZD/USD,0.5789,10234,BUY
EUR/GBP,0.8567,11045,SELL
EUR/JPY,161.82,9456,BUY
GBP/JPY,188.56,10678,SELL
EUR/CHF,0.9641,9823,BUY
EUR/AUD,1.7156,10345,SELL
EUR/CAD,1.5567,9912,BUY
GBP/CHF,1.1234,10789,SELL
AUD/JPY,94.35,11123,BUY
CAD/JPY,103.94,9567,SELL
CHF/JPY,167.89,10456,BUY
NZD/JPY,86.42,9734,SELL
EUR/NZD,1.8734,10234,BUY
GBP/AUD,1.9987,11456,SELL
USD/SGD,1.3456,9823,BUY
USD/HKD,7.8234,10567,SELL
USD/CNY,7.2456,11234,BUY
USD/MXN,17.234,9678,SELL
USD/ZAR,18.456,10345,BUY
EUR/USD,1.0856,10123,SELL
GBP/USD,1.2645,9987,BUY
USD/JPY,149.45,10678,SELL
AUD/USD,0.6334,11234,BUY
USD/CAD,1.4367,9456,SELL
EUR/GBP,0.8578,10789,BUY
NZD/USD,0.5801,9823,SELL
EUR/JPY,162.01,10456,BUY
GBP/JPY,188.89,11123,SELL
USD/CHF,0.8903,9678,BUY
EUR/CHF,0.9656,10234,SELL
AUD/JPY,94.67,11045,BUY
EUR/AUD,1.7189,9567,SELL
CAD/JPY,104.12,10345,BUY
CHF/JPY,168.23,9912,SELL
EUR/CAD,1.5589,10678,BUY
GBP/CHF,1.1256,11234,SELL
NZD/JPY,86.67,9734,BUY
EUR/NZD,1.8767,10456,SELL
GBP/AUD,2.0012,9823,BUY
USD/SGD,1.3467,10567,SELL
USD/HKD,7.8245,11123,BUY
USD/CNY,7.2478,9456,SELL
USD/MXN,17.267,10234,BUY
USD/ZAR,18.489,9678,SELL
EUR/USD,1.0835,10789,BUY
GBP/USD,1.2621,11045,SELL
USD/JPY,149.12,9823,BUY
AUD/USD,0.6315,10456,SELL
USD/CAD,1.4349,11234,BUY
NZD/USD,0.5783,9567,SELL
EUR/GBP,0.8561,10345,BUY
EUR/JPY,161.67,9912,SELL
GBP/JPY,188.34,10678,BUY
USD/CHF,0.8887,11123,SELL
EUR/CHF,0.9635,9734,BUY
AUD/JPY,94.23,10234,SELL
EUR/AUD,1.7134,9823,BUY
CAD/JPY,103.82,10567,SELL
CHF/JPY,167.67,11234,BUY
EUR/CAD,1.5556,9456,SELL
GBP/CHF,1.1223,10345,BUY
NZD/JPY,86.29,9678,SELL
EUR/NZD,1.8712,10789,BUY
GBP/AUD,1.9967,11045,SELL
USD/SGD,1.3449,9823,BUY
USD/HKD,7.8227,10456,SELL
USD/CNY,7.2445,11234,BUY
USD/MXN,17.223,9567,SELL
USD/ZAR,18.434,10234,BUY
EUR/USD,1.0849,9912,SELL
GBP/USD,1.2638,10678,BUY
USD/JPY,149.34,11123,SELL
AUD/USD,0.6327,9734,BUY
USD/CAD,1.4361,10234,SELL
NZD/USD,0.5795,9823,BUY
EUR/GBP,0.8573,10567,SELL
EUR/JPY,161.95,11234,BUY
GBP/JPY,188.67,9456,SELL
USD/CHF,0.8897,10345,BUY
EUR/CHF,0.9648,9678,SELL
AUD/JPY,94.51,10789,BUY
EUR/AUD,1.7172,11045,SELL
CAD/JPY,104.03,9823,BUY
CHF/JPY,168.05,10456,SELL
EUR/CAD,1.5578,11234,BUY
GBP/CHF,1.1245,9567,SELL
NZD/JPY,86.54,10234,BUY
EUR/NZD,1.8745,9912,SELL
GBP/AUD,1.9995,10678,BUY
USD/SGD,1.3461,11123,SELL
USD/HKD,7.8239,9734,BUY
USD/CNY,7.2467,10234,SELL
USD/MXN,17.251,9823,BUY
USD/ZAR,18.467,10567,SELL
